SERIES|DESCRIPTION
PEHRAVL|LAST WEEK, COULD YOU HAVE WORKED FULL-TIME IF THE HOURS HAD BEEN AVAILABLE?
PULAY6M|HAVE YOU BEEN GIVEN ANY INDICATION THAT YOU WILL BE RECALLED TO WORK WITHIN THE NEXT 6 MONTHS?
PELAYAVL|COULD YOU HAVE RETURNED TO WORK LAST WEEK IF YOU HAD BEEN RECALLED?
PULAYAVR|IF YOU COULD NOT RETURN TO WORK LAST WEEK IF YOU HAD BEEN RECALLED, WHY IS THAT?
PELAYLK|EVEN THOUGH YOU ARE TO BE CALLED BACK TO WORK, HAVE YOU BEEN LOOKING FOR WORK DURING THE LAST 4 WEEKS?
PELAYDUR|DURATION OF LAYOFF
PULK|HAVE YOU BEEN DOING ANYTHING TO FIND WORK DURING THE LAST 4 WEEKS?
PELKM1|WHAT ARE ALL OF THE THINGS YOU HAVE DONE TO FIND WORK DURING THE LAST 4 WEEKS? (FIRST RESPONSE)
PULKM2|WHAT ARE ALL OF THE THINGS YOU HAVE DONE TO FIND WORK DURING THE LAST 4 WEEKS? (SECOND RESPONSE)
PULKM3|WHAT ARE ALL OF THE THINGS YOU HAVE DONE TO FIND WORK DURING THE LAST 4 WEEKS? (THIRD RESPONSE)
PULKM4|WHAT ARE ALL OF THE THINGS YOU HAVE DONE TO FIND WORK DURING THE LAST 4 WEEKS? (FOURTH RESPONSE)
PULKM5|WHAT ARE ALL OF THE THINGS YOU HAVE DONE TO FIND WORK DURING THE LAST 4 WEEKS? (FIFTH RESPONSE)
PULKM6|WHAT ARE ALL OF THE THINGS YOU HAVE DONE TO FIND WORK DURING THE LAST 4 WEEKS? (SIXTH RESPONSE)
PULKDK1|HOW DID YOU GO ABOUT LOOKING FOR WORK? (FIRST RESPONSE)
PULKDK2|HOW DID YOU GO ABOUT LOOKING FOR WORK? (SECOND RESPONSE)
PULKDK3|HOW DID YOU GO ABOUT LOOKING FOR WORK? (THIRD RESPONSE)
PULKDK4|HOW DID YOU GO ABOUT LOOKING FOR WORK? (FOURTH RESPONSE)
PULKDK5|HOW DID YOU GO ABOUT LOOKING FOR WORK? (FIFTH RESPONSE)
PULKDK6|HOW DID YOU GO ABOUT LOOKING FOR WORK? (SIXTH RESPONSE)
PULKPS1|WHAT DID YOU DO TO SEARCH FOR WORK? (FIRST RESPONSE)
PULKPS2|WHAT DID YOU DO TO SEARCH FOR WORK? (SECOND RESPONSE)
PULKPS3|WHAT DID YOU DO TO SEARCH FOR WORK? (THIRD RESPONSE)
PULKPS4|WHAT DID YOU DO TO SEARCH FOR WORK? (FOURTH RESPONSE)
PULKPS5|WHAT DID YOU DO TO SEARCH FOR WORK? (FIFTH RESPONSE)
PULKPS6|WHAT DID YOU DO TO SEARCH FOR WORK? (SIXTH RESPONSE)
PELKAVL|LAST WEEK, COULD YOU HAVE STARTED A JOB IF ONE HAD BEEN OFFERED?
PULKAVR|IF PULKAVR=NO, WHY IS THAT?
PELKLL1O|BEFORE YOU STARTED LOOKING FOR WORK, WHAT WERE YOU DOING: WORKING, GOING TO SCHOOL, OR SOMETHING ELSE?
PELKLL2O|DID YOU LOSE OR QUIT THAT JOB, OR WAS IT A TEMPORARY JOB THAT ENDED?
PELKLWO|WHEN LAST WORKED
PELKDUR|DURATION OF JOB SEEKING
PELKFTO|FT/PT STATUS OF JOBSEEKER
PEDWWNTO|DO YOU CURRENTLY WANT A JOB, EITHER FULL OR PART TIME?
PEDWRSN|WHAT IS THE MAIN REASON YOU WERE NOT LOOKING FOR WORK DURING THE LAST 4 WEEKS?
PEDWLKO|DID YOU LOOK FOR WORK AT ANY TIME IN THE LAST 12 MONTHS?
PEDWWK|DID YOU ACTUALLY WORK AT A JOB OR BUSINESS DURING THE LAST 12 MONTHS?
PEDW4WK|DID YOU DO ANY OF THIS WORK DURING THE LAST 4 WEEKS?
PEDWLKWK|SINCE YOU LEFT THAT JOB OR BUSINESS HAVE YOU LOOKED FOR WORK?
PEDWAVL|LAST WEEK, COULD YOU HAVE STARTED A JOB IF ONE HAD BEEN OFFERED?
PEDWAVR|IF  PEDWAVL=NO, WHY IS THAT?
PEJHWKO|HAVE YOU WORKED AT A JOB OR BUSINESS AT ANY TIME DURING THE PAST 12 MONTHS?
PUJHDP1O|DID YOU DO ANY OF THIS WORK IN THE LAST 4 WEEKS?
PEJHRSN|WHAT IS THE MAIN REASON YOU LEFT YOUR LAST JOB?
PEJHWANT|DO YOU INTEND TO LOOK FOR WORK DURING THE NEXT 12 MONTHS?
PRABSREA|REASON NOT AT WORK AND PAY STATUS
RCIVLF|CIVILIAN LABOR FORCE
PRDISC|DISCOURAGED WORKER RECODE
PREMPHRS|REASON NOT AT WORK OR HOURS AT WORK
PREMPNOT|MLR - EMPLOYED, UNEMPLOYED, OR NILF
PREXPLF|EXPERIENCED LABOR FORCE EMPLOYMENT
PRFTLF|FULL TIME LABOR FORCE
PRHRUSL|USUAL HOURS WORKED WEEKLY
PRPTHRS|AT WORK 1-34 BY HOURS AT WORK
PRPTREA|DETAILED REASON FOR PART-TIME
PRUNEDUR|DURATION OF UNEMPLOYMENT
PRUNTYPE|REASON FOR UNEMPLOYMENT
PRWKSCH|LABOR FORCE BY TIME
PRWKSTAT|FULL/PART-TIME WORK STATUS
PRWNTJOB|NILF RECODE - WANT A JOB OR OTHER NILF
PUIODP1|LAST MONTH, IT WAS REPORTED THAT YOU WORKED FOR (EMPLOYER'S NAME).  DO STILL WORK FOR (EMPLOYER'S NAME)	(AT YOUR MAIN JOB)?
PUIODP2|HAVE THE USUAL ACTIVITIES AND DUTIES OF YOUR JOB CHANGED SINCE LAST MONTH?
PUIODP3|LAST MONTH YOU WERE REPORTED AS (A/AN) (OCCUPATION) AND YOUR USUAL ACTIVITIES WERE (DESCRIPTION).  IS THIS AN ACCURATE DESCRIPTION OF YOUR CURRENT JOB?
PEIO1COW|INDIVIDUAL CLASS OF WORKER CODE ON FIRST JOB
PUIO1MFG|IS THIS BUSINESS OR ORGANIZATION MAINLY MANUFACTURING, RETAIL TRADE, WHOLESALE TRADE, OR SOMETHING ELSE?
PEIO2COW|INDIVIDUAL CLASS OF WORKER ON SECOND JOB.
PUIO2MFG|IS THIS BUSINESS OR ORGANIZATION MAINLY MANUFACTURING, RETAIL TRADE, WHOLESALE TRADE, OR SOMETHING ELSE?
PRAGNA|AGRICULTURE/NON-AGRICULTURE INDUSTRY
PRCOW1|CLASS OF WORKER 1
PRCOW2|CLASS OF WORKER 2
PRCOWPG|CLASS OF WORKER - PRIVATE OR GOVERNMENT
PRDTIND1|DETAILED INDUSTRY RECODE - JOB 1
PRDTIND2|DETAILED INDUSTRY RECODE - JOB 2
PRDTOCC1|DETAILED OCCUPATION RECODE - JOB 1
PRDTOCC2|DETAILED OCCUPATION RECODE - JOB 2
PRMJIND1|MAJOR INDUSTRY RECODE - JOB 1
PRMJIND2|MAJOR INDUSTRY RECODE - JOB 2
PRMJOCC1|MAJOR OCCUPATION RECODE - JOB 1
PRMJOCC2|MAJOR OCCUPATION RECODE - JOB 2
PRMJOCGR|MAJOR OCCUPATION CATEGORIES
PRSJMS|SINGLE/MULTIPLE JOBHOLDER
PEERNUOT|DO YOU USUALLY RECEIVE OVERTIME PAY, TIPS, OR COMMISSIONS AT YOUR JOB?
PEERNPER|PAY PERIODICITY
PEERNHRY|HOURLY/NONHOURLY STATUS
PUERNH1C|WHAT IS YOUR HOURLY RATE OF PAY ON THIS JOB, EXCLUDING OVERTIME PAY, TIPS OR COMMISSION?
PEERNH|EXCLUDING OVERTIME PAY, TIPS AND COMMISSIONS,  WHAT IS YOUR HOURLY RATE OF PAY ON YOUR (MAIN/THIS) JOB?
PEERNHRO|USUAL HOURS
PRERNWA|WEEKLY EARNINGS RECODE
PEERN|CALCULATED WEEKLY OVERTIME AMOUNT OVERTIME AMOUNT
PEERNWKP|HOW MANY WEEKS A YEAR DO YOU GET PAID FOR?
PEERNLAB|ON THIS JOB, ARE YOU A MEMBER OF A LABOR UNION OR OF AN EMPLOYEE ASSOCIATION SIMILAR TO A UNION?
PEERNCOV|ON THIS JOB ARE YOU COVERED BY A UNION OR EMPLOYEE ASSOCIATION CONTRACT?
PENLFJH|WHEN DID YOU LAST WORK AT A JOB OR BUSINESS?
PENLFRET|ARE YOU RETIRED FROM A JOB OR BUSINESS?
PENLFACT|WHAT BEST DESCRIBES YOUR SITUATION AT THIS TIME?  FOR EXAMPLE, ARE YOU DISABLED, ILL, IN SCHOOL, TAKING CARE OF HOUSE OR FAMILY, OR SOMETHING ELSE?
PESCHENR|LAST WEEK, WERE YOU ENROLLED IN A HIGH SCHOOL, COLLEGE, OR UNIVERSITY?
PESCHFT|ARE YOU ENROLLED IN SCHOOL AS A	FULL-TIME OR PART-TIME STUDENT?
PESCHLVL|WOULD THAT BE HIGH SCHOOL, COLLEGE, OR UNIVERSITY?
PWFMWGT|FAMILY WEIGHT
PWSSWGT|FINAL WEIGHT
PRCHLD|PRESENCE OF OWN CHILDREN <18 YEARS OF AGE BY SELECTED AGE GROUP
PRNMCHLD|Number of own children <18 years of age
QSTNUM|Unique household identifier.  Valid only within any specific month.
OCCURNUM|Unique person identifier.  Valid only within any specific month.
PEDIPGED|How did...get...'s high school diploma? school...completed before receiving...'s GED?
PEHGCOMP|What was the highest grade of regular
PECYC|How many years of college credit has...completed?
PWCMPWGT|Composited Final Weight.  Used to create BLS's published labor force statistics (4 implied decimal places)
PEIO1ICD|INDUSTRY CODE FOR PRIMARY JOB
PEIO1OCD|OCCUPATION CODE FOR PRIMARY JOB.
PEIO2ICD|INDUSTRY CODE FOR SECOND JOB.
PEIO2OCD|OCCUPATION CODE FOR SECOND JOB.
PEAFWHN1|WHEN DID YOU SERVE IN MILITARY (PERIOD 1)?
PEAFWHN2|WHEN DID YOU SERVE IN MILITARY (PERIOD 2)?
PEAFWHN3|WHEN DID YOU SERVE IN MILITARY (PERIOD 3)?
PEAFWHN4|WHEN DID YOU SERVE IN MILITARY (PERIOD 4)?
PRDASIAN|DETAILED ASIAN RACE RECODE
PEPDEMP1|DOES THIS PERSON USUALLY HAVE ANY PAID EMPLOYEES?
PTNMEMP1|EXCLUDING ALL OWNERS, HOW MANY PAID EMPLOYEES DOES THIS PERSON
PEPDEMP2|DOES THIS PERSON USUALLY HAVE ANY PAID EMPLOYEES?
PTNMEMP2|EXCLUDING ALL OWNERS, HOW MANY PAID EMPLOYEES DOES THIS PERSON USUALLY HAVE?
PECERT1|DOES … HAVE A CURRENTLY ACTIVE PROFESSIONAL CERTIFICATION OR A STATE OR INDUSTRY LICENSE? DO NOT INCLUDE BUSINESS LICENSES, SUCH AS A LIQUOR LICENSE OR VENDING LICENSE.
PECERT2|WERE ANY OF …’S CERTIFICATIONS OR LICENSES ISSUED BY THE FEDERAL, STATE, OR LOCAL GOVERNMENT?
PECERT3|EARLIER YOU TOLD ME THAT YOU HAD A CURRENTLY ACTIVE PROFESSIONAL CERTIFICATION OR LICENSE.  IS YOUR CERTIFICATION OR LICENSE REQUIRED FOR YOUR …
